30990000	2	30000000		İskele, kalıp ve şantiye sistemleri
30991500	3	30990000		İskele sistemleri
30991501	4	30991500		Cephe iskelesi (modüler)
30991502	4	30991500		İç iskele / kalıp altı iskele
30991503	4	30991500		Asma iskele
30991504	4	30991500		Mobil iskele kuleleri
30991505	4	30991500		İskele dirseği, boru ve klemens
30991506	4	30991500		İskele platform tahtası ve kalas
30991507	4	30991500		Güvenlik ağı ve kenar koruma
30991600	3	30990000		Kalıp sistemleri
30991601	4	30991600		Panel kalıp
30991602	4	30991600		Çelik kalıp
30991603	4	30991600		Tünel kalıp
30991604	4	30991600		Kalıp aksesuarları (tij, kelepçe, konik)
30991605	4	30991600		Plywood ve kalıp plakası
30991700	3	30990000		Çelik konstrüksiyon
30991701	4	30991700		Çelik profil (IPE, HEA, HEB, NPU)
30991702	4	30991700		Çelik levha ve sac
30991703	4	30991700		Kaynaklı çelik konstrüksiyon imalatı
30991704	4	30991700		Uzay kafes sistemleri
30991705	4	30991700		Sandviç panel
30991706	4	30991700		Trapez sac ve çatı kaplama
30991800	3	30990000		Yangın güvenliği malzemeleri
30991801	4	30991800		Yangın söndürme tüpü
30991802	4	30991800		Yangın dolabı ve hortumu
30991803	4	30991800		Sprinkler sistemleri
30991804	4	30991800		Yangın algılama ve alarm sistemleri
30991805	4	30991800		Yangın kapısı
30991806	4	30991800		Yangın durdurucu ve yalıtım malzemeleri
30991900	3	30990000		Kişisel koruyucu donanım (KKD)
30991901	4	30991900		Baret ve kafa koruma
30991902	4	30991900		İş eldiveni
30991903	4	30991900		Emniyet kemeri ve lanyard
30991904	4	30991900		İş ayakkabısı ve bot
30991905	4	30991900		Koruyucu gözlük ve yüz siperi
30991906	4	30991900		Toz maskesi ve solunum koruyucu
30991907	4	30991900		Yüksekte çalışma ekipmanları
30991908	4	30991900		Reflektif yelek ve iş kıyafeti
39990000	2	39000000		Pano ve dağıtım sistemleri
39991500	3	39990000		Pano gövdeleri
39991501	4	39991500		AG (alçak gerilim) pano gövdesi
39991502	4	39991500		OG (orta gerilim) pano gövdesi
39991503	4	39991500		MCC (motor kontrol merkezi) pano gövdesi
39991504	4	39991500		Sayaç panosu
39991505	4	39991500		Dış ortam panosu (IP65+)
39991506	4	39991500		Pano klima ve havalandırma
39991600	3	39990000		Şalt ve koruma elemanları
39991601	4	39991600		Kompakt güç şalteri (MCCB)
39991602	4	39991600		Minyatür devre kesici (MCB)
39991603	4	39991600		Kaçak akım koruma rölesi
39991604	4	39991600		Kontaktör
39991605	4	39991600		Termik röle
39991606	4	39991600		Faz koruma ve motor koruma rölesi
39991607	4	39991600		Sigorta ve sigorta altlığı
