# ÜRETİLMİŞ kategori eşanlamlıları — gen-category-keywords.ts
# Elle DÜZENLENEBİLİR ama elle küratörlü satırlar category-keywords.tsv'ye
# yazılmalı: o dosya bunu EZER ve yeniden üretimde kaybolmaz.
# Biçim: <kod>\t<boşlukla ayrılmış terimler>
11100000	maden sanayi döküm hammaddesi alaşımlar külçe
11101500	endüstriyel hammaddeler dolgu malzemeleri kalsit talk barit kuvars
11101501	pul levha yalıtım fırın camı
11101506	toz yazı tahtası kalsiyum karbonat
11101600	demir cevheri bakır konsantresi kromit manganez çinko kurşun
11101700	demir çelik bakır alüminyum pirinç bronz çinko kurşun
11101800	altın gümüş platin paladyum külçe sarrafiye
11110000	agrega moloz dolgu malzemesi hafriyat şantiye toprağı
11111500	bahçe toprağı humuslu torf bitki peyzaj
11111501	tarım toprağı elenmiş gübreli dolgu
11111600	doğal blok cephe kaplama moloz
11111601	jips ham çimento hammaddesi
11111602	denizli patlatma taş mermer dış cephe kaplama
11111603	alabaster oniks mermer dekoratif süs
11111604	küptaş plak tezgah bordür
11111605	blok plaka bej muğla beyazı
11111606	kayrak taşı çatı siyah doğal kaplama
11111607	kaplama doğal cephe dekoratif duvar
11111608	kalker agrega yol dolgusu kırma
11111609	küptaş plak bordür mıcır
11111610	ponza pomza hafif agrega topuk tekstil yıkama
11111611	dere süs peyzaj podima taşı
11111612	kalsit dolgu malzemesi asfalt
11111613	volsatolit seramik hammaddesi iğnemsi silikat dolgu minerali
11111700	inşaat kumu şap sıva elenmiş
11111701	kuvars döküm arıtma kumlama
11111800	seramik kili döküm endüstriyel sanayi
11111801	terrakotta kiremit kili tuğla kırmızı kil
11111802	refrakter şamot yüksek sıcaklık
11111803	porselen kili beyaz seramik hammaddesi
11111804	sodyum kalsiyum sondaj kedi kumu
11111805	refrakter hammaddesi yüksek alüminyalı mineral
11111806	refrakter fırın malzemesi yüksek sıcaklık seramiği
11111807	harcı tuğlası refrakter harç fırın
11111808	kırmızı tuğla kili seramik çamuru
11111809	ball clay döküm çamuru seramik bağlayıcı
11111810	aktif kil yağ filtrasyon kili
11111811	hafif agrega leca yalıtım kili
11111812	tarım yalıtım malzemesi genleşmiş
11120000	tomruk kereste endüstriyel odun lif pamuk keten elyafı
11121500	lateks nektar salgı kauçuk hammaddesi ağaç sıvısı
11121502	kolofon çam sakızı epoksi hammaddesi akrilik polyester dogal resin damla kehribar
11121600	marangozluk kerestelik paletlik dogal agac masif mobilya hammaddesi kerestecilik
11121603	kavak cam gurgen mese agac govdesi kerestelik soyma kaplama
11121604	ladin goknar sedir yumusak agac inşaatlık tahta kalıp tahtası
11121605	hasır bambu orgu mobilya kamısı sepetlik saz orguluk
11121606	levha rulo sise tapasi yalitim pano granül
11121607	selüloz kagit selülozik elyaf lifli ambalaj hammaddesi
11121608	cubuk kamis dekoratif ithal mobilya kamisi
11121610	meşe gürgen kayın ceviz dişbudak masif parkelik mobilyalık agac
11121614	teak deck yat güvertesi dış mekan mobilyası suya dayanıklı egzotik ağaç parke
11121616	sarıçam karaçam kızılçam kerestelik tahta lambri kereste tomruk ithal
11121621	kereste ithal sert agac egzotik mobilyalik
11121622	kereste guney amerika agaci egzotik sert agac ithal
11121623	kereste dayanikli sert agac ithal egzotik insaatlik
11121624	copaiba kereste yaglı agac guney amerika kerestesi egzotik sert
11121625	okaliptus direk kereste maden diregi peyzaj odunu dayanikli agac
11121700	agac kabugu kozalak cali cirpi atigi peyzaj malc talaş
11121800	keten kenevir jüt pamuk lifi hindistan cevizi elyafı kendir
11121900	esansiyel yaglar ucucu yag dogal esans koku hammaddesi bitki yagi aromatik
11122000	lamine ahsap kompozit panel masif osb kontra marin
11122001	plywood marin kontra huş kavak kalıplık inşaatlık
11122002	melamin kaplı ham mobilya paneli
11122003	mdflam ham boyanabilir profil mobilya arkalık
11122004	dogal papel agac mobilya kaplamasi freze hare
11122005	kiriş ahşap taşıyıcı kolon yapısal
11122006	emprenyeli fırınlanmış thermowood fırınlı tahta emprenye
11130000	deri post boynuz kemik tüy yün kıl balmumu ipek kozası
11131500	ham kürk koyun postu sığır derisi keçi hammaddesi
11131501	kaz tüyü ördek kuş dolgu yastık mont süs
11131600	arı sütü propolis bal mumu gübre atık kemik unu
11131602	suni tohumlama hayvancılık damızlık dondurulmuş veterinerlik
11131607	dondurulmuş damızlık hayvancılık suni dölleme veteriner transferi
11131609	damızlık boğa suni tohumlama angus holstein veterinerlik
11131610	kuluçkalık damızlık döllü kuluçka yumurtası
11140000	demir bakır plastik kağıt metal geri dönüşüm atığı
11141600	plastik kağıt cam lastik naylon pet şişe
11141700	küspe tozu artığı melas döküntüsü kompost hammaddesi
11150000	pamuk ipliği polyester dikiş naylon akrilik elyaf
11151500	pamuk lifi polyester akrilik cam elyafı karbon elyaf bazalt asbest
11151600	bobin dikiş ipliği penye nakış polyester naylon akrilik viskon ipleri
11151700	katlı kord bezi ipliği dikiş halat
11160000	tekstil hammaddesi dokuma örme suni hakiki rulo
11161500	şifon saten tafta krep organze şal desenli
11161600	kaşe kaşmir tüvit flanel şetland yünlü dokuma triko
11161700	gabardin poplin vual patiska denim kot pazen jarse süprem
11161800	polyester polar mikro akrilik naylon viskon likra elastan
11162000	keten kenevir jüt bambu lifi ramie kendir
11162100	teknik tekstil endüstriyel yanmaz su geçirmez koruyucu
11162101	mermerşahi süzgeç gazlı pansuman hidrofil
11162102	bmi kompozit yüksek sıcaklık havacılık prepreg reçine
11162104	karbon elyaf keçe yüksek sıcaklık fırın yalıtımı
